Address,City,ZipCode,Bedrooms,Bathrooms,SquareFeet,ListedPrice,RentEstimate,MonthlyCost,
1661 Sam Dominguez St ,FALSE,79928,4,2,1482,247830,1600,2252.314941,
2236 Sandstone Pl ,TRUE,79911,3,2,1516,387360,1750,3430.286621,
6132 Hidden Row Ave ,TRUE,79924,4,2,1482,258370,1295,2303.338379,
1665 Sam Dominguez St ,FALSE,79928,3,2.5,1722,281040,1545,2521.803711,
1653 Sam Dominguez St ,FALSE,79928,4,3.5,2371,316530,2590,2942.24707,
7429 Big Mountain Ct ,TRUE,79911,3,2,1516,380360,1750,3372.092773,
6140 Hidden Row Ave ,TRUE,79924,3,2,1482,258930,1600,2344.593994,
13146 Oakhampton Ave ,TRUE,79928,3,2.5,2139,303130,2095,2771.447266,
6100 Hidden Row Ave ,TRUE,79924,3,2.5,1722,282980,1545,2537.931885,
13155 Gusart Ave ,TRUE,79928,4,2.5,2356,318100,2000,2884.499023,
273 Farnborough St ,TRUE,79928,4,2.5,2356,319070,2000,2892.563232,
7417 Big Mountain Ct ,TRUE,79911,3,2.5,1938,422400,2135,3767.788818,
2232 Sandstone Pl ,TRUE,79911,3,2.5,1938,433440,2135,3859.569092,
2249 Rocky Terrace Pl ,TRUE,79911,3,2.5,1938,417900,2135,3730.378418,
544 Paseo Musical St ,FALSE,79928,3,2.5,2139,301250,2095,2755.817871,
Prickly Pear Plan, Hidden Village Community ,TRUE,79924,4,2,1482,254900,1295,2274.490967
280 Staffs Way ,TRUE,79928,4,2.5,2356,313276,2000,2844.395264,
2241 Sandstone Pl ,TRUE,79911,3,2,1516,392760,1750,3475.179199,
6144 Hidden Row Ave ,FALSE,79924,4,3,2562,333020,3200,3152.5354,
1660 Sam Dominguez St ,FALSE,79928,3,2.5,2139,297880,2095,2727.801758,
2240 Sandstone Pl ,TRUE,79911,3,2.5,1938,420400,2135,3751.162109,
2237 Sandstone Pl ,TRUE,79911,3,2.5,2280,440400,2800,3997.230469,
6412 Amposta Dr ,TRUE,79912,3,2,1856,320000,1850,2882.294678,
1641 Sam Dominguez St ,FALSE,79928,4,3.5,2562,312930,2590,2912.318604,
Vista Plan, Tierra del Este 82 Community ,TRUE,79938,3,2.5,2010,264950,2000,2442.640869
Celebration Plan, Tierra del Este 82 Community ,TRUE,79938,3,2,1302,222950,1450,2027.477173
Blue Agave Plan, Hidden Village Community ,TRUE,79924,3,2.5,2139,305900,2095,2794.475342
Splendor Plan, Tierra del Este 82 Community ,TRUE,79938,4,2.5,2083,270950,1800,2468.52124
 Horizon Plan, Tierra del Este 82 Community ,TRUE,79938,4,2.5,2216,280950,1985,2573.855469
10917 Gary Player Dr ,TRUE,79935,4,3.5,3354,695000,3100,6149.827148,
3116 Titanic Ave ,TRUE,79904,7,4,5158,306000,3300,2939.906738,
12518 Winners Cir ,TRUE,79928,4,3,2719,375000,2050,3363.532715,
Red Yucca Plan, Hidden Village Community ,TRUE,79924,5,3.5,2371,321900,2400,2964.090088
Triumph Plan, Tierra del Este 82 Community ,TRUE,79938,4,2.5,2717,320950,2045,2913.592285
Blue Agave Plan, Peyton Estates Community ,TRUE,79928,3,2.5,2139,339900,2095,3077.131592
Spirit Plan, Tierra del Este 82 Community ,TRUE,79938,3,2.5,1795,257950,1700,2348.446777
Freedom Plan, Tierra del Este 82 Community ,TRUE,79938,4,2.5,2610,318950,2045,2896.965576
Serenity Plan, The View at Desert Springs | Thoughtful Collection Community ,TRUE,79911,4,3,2487,459900,2495,4122.742188
Harmony Plan, The View at Desert Springs | Thoughtful Collection Community ,TRUE,79911,3,2,1516,379900,1750,3368.268555
Larue Plan, Hillside Park Community ,TRUE,79928,4,2.5,2453,352900,2600,3245.806152
11448 Tom Ulozas Dr ,TRUE,79936,3,2,1487,215000,1495,1966.7854,
Journey Plan, The View at Desert Springs | Thoughtful Collection Community ,TRUE,79911,4,3,1938,417900,1750,3684.178467
Sotol Plan, Hidden Village Community ,TRUE,79924,4,3,2562,325900,3200,3093.34375
Nolina Plan, Hidden Village Community ,TRUE,79924,3,2.5,1722,288900,1545,2587.147217
Azure Plan, Peyton Estates Community ,TRUE,79928,5,4.5,2654,325900,2145,2966.743896
Zen Plan, The View at Desert Springs | Thoughtful Collection Community ,TRUE,79911,3,2.5,2280,435900,2800,3959.820068
Bliss Plan, The View at Desert Springs | Thoughtful Collection Community ,TRUE,79911,5,2.5,2692,468900,2235,4166.362793
9002 Rancich St ,TRUE,79904,4,3,2656,250000,1875,2303.355225,
The Ranger Plan, Hillside Park Community ,TRUE,79928,3,2,1871,295900,1700,2663.941162
Scottsdale Plan, Hillside Park Community ,TRUE,79928,4,3,1860,306900,1895,2778.788818
9518 Iris Dr ,TRUE,79924,3,2,920,159900,1195,1472.715942,
11869 Oak Crossing Dr ,TRUE,79936,3,2,1393,239000,1495,2166.307617,
Elation Plan, Tierra del Este 82 Community ,TRUE,79938,3,2.5,2130,274950,1725,2492.774902
13421 Boody Ct ,FALSE,79928,5,4,3939,275000,3300,2682.190674,
325 Alvarez Dr ,TRUE,79932,4,3,2243,277000,2185,2565.017578,
The Lindale Plan, Hillside Park Community ,TRUE,79928,4,3,2155,316900,2600,2946.522949
Scottsdale Plan, Peyton Estates Community ,TRUE,79928,4,3,1860,306900,1895,2778.788818
316 Kingswood Dr ,TRUE,79932,5,3,4047,619998,3300,5550.304199,
2828 Tierra Oasis St ,TRUE,79938,4,2,1521,236000,1500,2141.967285,
3521 Idalia Ave ,TRUE,79930,2,2,1173,179900,1425,1666.584351,
Prickly Pear Plan, Peyton Estates Community ,TRUE,79928,4,2,1482,254900,1600,2311.09082
Azure Plan, Hillside Park Community ,TRUE,79928,4,4.5,2654,355900,2145,3216.146484
4273 Loma Azteca Ct ,TRUE,79934,5,3.5,3237,375000,3100,3489.532715,
200 W Sunset Rd ,TRUE,79922,6,6,4516,1058680,3300,9197.251953,
401 Buena Vista St ,TRUE,79905,3,2,1296,164999,1519,1553.986084,
6060 E Yandell Dr ,TRUE,79905,3,1,1144,79900,1350,826.2423096,
317 Pasodale Rd ,TRUE,79907,3,2,1866,165000,2450,1665.714355,
14248 Bailee Point Ln ,TRUE,79938,4,2.5,2019,270000,2200,2508.623535,
8317 McFall Dr ,TRUE,79925,4,3,2012,284900,2000,2608.493652,
5735 Mira Grande Dr ,TRUE,79912,3,2,2033,330000,2270,3015.828857,
11848 Auburn Sands Dr ,TRUE,79934,3,2,1394,200000,1625,1857.684082,
15511 Stratford Rd ,TRUE,79928,5,4.5,3772,379950,3300,3554.684082,
617 Alta Cumbre Pl ,TRUE,79912,4,2.5,2226,400000,2650,3643.368164,
14273 Tierra Yamila Ln ,TRUE,79938,3,2,1136,200000,2100,1914.684082,
11908 Diego Rivera Dr ,TRUE,79936,3,2,1031,178800,1300,1642.439575,
10713 Canyon Sage Dr ,TRUE,79924,3,2,1346,135000,1600,1314.311768,
6705 Los Altos Dr ,TRUE,79912,3,2,1803,265500,1995,2446.613281,
5717 Saplinas Rd ,TRUE,79932,4,2,1759,250000,1400,2246.355225,
213 Montebello Dr ,TRUE,79912,3,2,1298,195000,1519,1803.396973,
3648 Silver Palm Dr ,TRUE,79936,4,2,1791,128000,1995,1303.517822,
3231 Zion Ln ,TRUE,79904,5,3,2978,409800,1900,3634.839844,
5729 Mira Grande Dr ,TRUE,79912,3,3.5,3082,490000,1900,4301.576172,
10863 Loma De Alma Dr ,TRUE,79934,4,2,2228,325000,2135,2958.061768,
7305 Lakehurst Rd ,TRUE,79912,3,2,1249,220000,1325,1987.952515,
1100 Regal Ridge Dr ,TRUE,79912,4,2.5,2396,399950,2070,3573.352539,
1267 John Phelan Dr ,TRUE,79936,3,2,1978,295000,1595,2643.859131,
2901 Gold Ave ,TRUE,79930,4,2,3352,339999,2200,3090.554688,
379 Flemish Cir ,TRUE,79912,3,2,1546,245000,1800,2252.788086,
1800 N Stanton St Apt 401 ,TRUE,79902,2,2,1153,179000,1350,1650.102295,
14370 Loma Esmeralda Dr ,TRUE,79938,3,2,1708,205995,1895,1939.923096,
211 S Carolina Dr ,TRUE,79915,3,2,1154,103000,1350,1018.282349,
14564 Achim Dr ,TRUE,79928,4,3,1586,156000,1795,1512.293579,
7345 Enchanted Blf ,TRUE,79911,4,3,2563,577550,3200,5185.416016,
14600 Christian Castle Ave ,TRUE,79938,4,2.5,2068,274500,1835,2502.233887,
2869 Time Rock Pl ,TRUE,79938,4,2,1638,265000,1800,2419.056396,
10909 Lakewood Ave ,TRUE,79935,3,2,1796,245000,1995,2276.187988,
924 Abe Goldberg Dr ,TRUE,79932,4,2.5,2023,395000,2095,3535.201172,
14385 Tobe Davis Dr ,FALSE,79928,4,2,1429,238000,1400,2146.593994,
2016 Shadow Ridge Dr ,TRUE,79938,5,3,2460,359995,2600,3304.789795,
4945 Vista Grande Cir ,TRUE,79922,5,3,3059,489500,1900,4297.419434,
789 Oxfordshire St ,TRUE,79928,3,2,1402,245770,1625,2238.189453,
784 Villa Vanessa Dr ,TRUE,79912,3,2.5,1900,330000,2135,2999.628906,
3314 E San Antonio Ave ,TRUE,79905,3,3,1495,165000,1350,1533.714355,
10004 Saigon Dr ,TRUE,79925,3,2,2005,215000,1795,2002.7854,
2810 Van Buren Ave ,TRUE,79930,3,2,1110,105000,1795,1088.309204,
15581 Lexa Dean Dr ,TRUE,79938,3,2,1618,199000,1755,1864.970703,
2321 Dancing Piper Way ,TRUE,79911,2,3,2034,410000,2500,3708.502441,
13875 Wild Flower Dr ,TRUE,79938,3,2,1962,388000,1995,3465.007324,
425 Rocca Ln ,TRUE,79915,4,2.5,2348,220000,2070,2077.352539,
805 E Baltimore Dr ,TRUE,79902,4,3,2339,373140,1875,3327.069824,
937 Galaxia Dr ,FALSE,79928,4,2,1376,201000,1450,1844.997559,
12741 Rodolfo Anchondo Ct ,TRUE,79938,4,2,1420,234900,1395,2120.222412,
3633 Dominican St ,TRUE,79936,3,2,1125,185000,1400,1705.982788,
7161 N Skies Ln ,TRUE,79934,3,2,1312,229950,1595,2103.071045,
808 Green Cove Dr ,TRUE,79932,3,3,2649,325000,2150,2959.861816,
5304 Tropicana Ave ,TRUE,79924,3,1,1000,159000,1450,1495.833862,
14132 Desert Willow Dr ,TRUE,79938,6,6,4189,895000,3000,7800.511719,
9409 Falkirk Ave ,TRUE,79925,4,2,1644,190000,1590,1770.349976,
12821 Col Charles Branson Dr ,TRUE,79938,3,2,1114,197950,1350,1807.641602,
3328 Freeport Dr ,TRUE,79935,3,2,1757,250000,1695,2281.755127,
4433 N Stanton St Unit E103 ,TRUE,79902,2,2,1061,165000,1100,1503.714355,
13640 Samlesbury Ave ,TRUE,79928,4,2,1531,239950,1795,2210.205322,
7378 Black Mesa Dr ,TRUE,79911,4,3,2155,389000,2695,3557.320557,
12937 Tierra Salas ,TRUE,79938,4,2.5,2262,224950,2500,2170.104004,
12371 Freshwater Dr ,TRUE,79928,4,3,3022,650000,1900,5631.723633,
1029 Stanley St ,TRUE,79907,3,2,1426,145000,1750,1415.446045,
1464 Greg Powers Dr ,TRUE,79936,4,2,1475,224000,1600,2054.206299,
10733 Tony Dorsett Ave ,TRUE,79924,4,3,2182,305250,2150,2795.671631,
12398 Paseo Nuevo Dr ,TRUE,79928,5,3,3200,439950,1900,3885.489502,
12824 Tierra Ayala Dr ,TRUE,79938,3,2.5,2222,299999,1835,2714.217773,
11041 Acoma St ,TRUE,79934,4,3,2127,362500,1900,3241.61499,
12764 Indian Canyon Dr ,TRUE,79928,4,2,2120,316550,1875,2856.613281,
2249 Sandstone Pl ,TRUE,79911,4,2.5,2692,486900,2235,4316.004395,
4032 Snoqualmie Dr ,TRUE,79938,3,2,896,95000,1195,933.1749878,
6417 Dawn Dr ,TRUE,79912,4,3,2706,349900,2450,3202.865967,
5865 Oscar Perez Ave ,TRUE,79932,4,3,2949,465000,2800,4201.740723,
1209 S Belvidere St W ,TRUE,79912,5,3,2619,384900,3730,3647.435547,
10916 Loma De Rio Pl ,TRUE,79934,3,2.5,1614,229999,1695,2115.478516,
3308 Dublin Rd ,TRUE,79925,4,2,2222,319900,2135,2915.66333,
605 Cresta Alta Dr ,TRUE,79912,3,3,2776,400000,2500,3625.368164,
2908 Royal Knoll Dr ,TRUE,79936,3,2,1414,126999,1395,1223.196167,
4717 El Campo Dr ,TRUE,79924,3,2,1511,198900,1650,1851.539307,
6204 LA Posta Dr ,TRUE,79912,3,2,1915,395000,1650,3481.80127,
10345 Pasadena Cir ,TRUE,79924,3,2,1847,180000,1700,1700.415771,
11956 Paseo Real Cir ,TRUE,79936,3,3,2283,449950,2600,4052.623535,
629 Espina Dulce Pl ,TRUE,79912,4,2,2142,315000,2095,2870.127441,
7876 Enchanted Dr ,TRUE,79911,4,2.5,1830,302450,2400,2802.394043,
2157 Septiembre Dr ,TRUE,79935,5,3,2209,229000,2500,2203.773438,
3457 Freeport Dr ,TRUE,79935,3,2,1465,229900,1595,2102.655518,
9860 Titan St ,TRUE,79924,3,2,1809,190000,1995,1818.949951,
14932 Blacktail Deer Ln ,TRUE,79938,4,2,2884,250000,2045,2323.755127,
9365 N Loop Dr ,TRUE,79907,4,4,3776,748500,3300,6618.595215,
11316 Manuel Gameros Dr ,TRUE,79934,4,2,1828,248000,1550,2247.728271,
4940 Copper Ranch Ave ,TRUE,79934,3,2,1274,197000,1535,1821.943848,
1011 Saint Johns Dr ,TRUE,79903,3,1,1515,229950,1325,2070.671143,
8520 Mountain Ash Dr ,TRUE,79904,3,2,2686,449000,2600,4044.72583,
1016 Calle Parque Dr ,TRUE,79912,4,3.5,2713,465000,2500,4165.740723,
7204 Copper Town Dr ,TRUE,79934,4,2,1506,219500,1600,2016.795776,
12285 Tierra Plata Dr ,TRUE,79938,3,2,1313,198000,1595,1837.457275,
701 Rim Rd ,TRUE,79902,4,5,5500,1514998,3300,12990.81543,
12024 Silver Crown Rd ,TRUE,79928,4,3,1906,289950,1750,2620.476318,
12209 Riane Chantee Dr ,TRUE,79936,5,3,2631,339700,2145,3081.468994,
10751 Coral Sands Dr ,TRUE,79924,3,2,1962,249900,1500,2257.523926,
2331 Octubre Dr ,TRUE,79935,3,2,1603,260000,1600,2353.489258,
14729 Tim Hardaway Dr ,TRUE,79938,4,2,1645,255000,1800,2335.922363,
14373 Arabian Point Ave ,TRUE,79938,4,2.5,2679,319000,2045,2897.381104,
4948 Sun Valley Dr ,TRUE,79924,3,1.5,1200,189950,1400,1747.134277,
3906 Idalia Ave ,TRUE,79930,2,1,942,115000,1200,1100.043335,
724 Twin Hills Dr ,TRUE,79912,5,4,4191,549875,3300,4967.342285,
2155 Enchanted Brook Dr ,TRUE,79911,4,3,1914,239950,1750,2204.805176,
12817 Cozy Cove Ave ,TRUE,79938,4,2,1711,260000,1895,2388.889404,
1518 Dale Douglas Dr ,TRUE,79936,3,2,1704,195000,1850,1843.117065,
11521 Lucio Moreno Dr ,TRUE,79934,3,2.5,2288,389000,2100,3485.920654,
1141 E Baltimore Dr ,TRUE,79902,2,1,904,319000,1000,2771.981201,
305 Kent Ave ,TRUE,79922,3,2,1873,285000,1635,2565.524902,
321 Rio Pinsaqui Ct ,TRUE,79932,5,6,2995,629900,3100,5608.623535,
3428 Wyoming Ave ,TRUE,79903,2,1,940,165000,975,1488.714355,
7808 Enchanted Dr ,TRUE,79911,3,2.5,1942,334950,2135,3040.780273,
11325 Bullseye St ,TRUE,79934,4,3,2311,300000,2000,2734.026123,
11116 Sea Foam Way ,TRUE,79936,4,2,1822,284500,1750,2575.168213,
4649 Leeds Ave ,TRUE,79903,3,2,1716,199950,1800,1878.268433,
12272 Hartlepool Dr ,TRUE,79928,3,4,2548,425000,1995,3772.60376,
11032 Don January Dr ,TRUE,79935,5,5,4282,880000,3300,7711.810059,
693 Milton Henry Ave ,TRUE,79932,3,2,1504,244900,1500,2215.956787,
5980 Valle Del Sol Dr ,TRUE,79924,3,2,1092,169950,1175,1553.865845,
809 N San Marcial St ,TRUE,79903,3,1,1148,140000,1350,1325.878906,
8808 Cosmos Ave ,TRUE,79925,3,3,2508,325000,2125,2956.861816,
14455 Alyssa Marie Dr ,TRUE,79938,5,2.5,2547,312500,2535,2902.144043,
12000 Van Gogh Dr ,TRUE,79936,3,2,1738,235000,1735,2161.85376,
9200 Breish Ct ,TRUE,79925,5,3,3655,469999,1900,4135.299316,
11475 Summer Drive or B Dr Unit A ,TRUE,79927,4,2.5,1515,229500,1650,2105.929932,
2061 Thunder Ridge Dr ,TRUE,79938,4,2.5,2217,310000,1985,2815.360352,
12253 Costa Brava Pl ,TRUE,79938,5,4,4418,660000,3000,5846.857422,
4549 Loma Linda Cir ,TRUE,79934,3,2,1259,183000,1275,1674.355957,
6225 Brillo Luna St ,TRUE,79932,3,2,1730,294900,1545,2637.027832,
6853 Inca Dove Dr ,TRUE,79911,3,2,1597,299999,1895,2721.417969,
5749 Mira Grande Dr ,TRUE,79912,3,2.5,2033,359000,2250,3254.518066,
411 San Pablo Pl ,TRUE,79915,3,2,1108,150000,1795,1462.413086,
4201 Marcus Uribe Dr ,TRUE,79934,4,3.5,3166,380000,3100,3531.099854,
5127 Temple Ct ,TRUE,79924,4,3,2516,219000,2300,2096.63916,
5456 Ignacio Frias Dr ,TRUE,79934,4,2,1454,235000,1550,2139.653809,
3126 Frankfort Ave ,TRUE,79930,3,2,1640,220000,1650,2026.952515,
14572 Escalera Dr ,TRUE,79928,3,2,1184,184500,1425,1704.82605,
4803 Tholos Ct ,TRUE,79924,3,2,1710,148000,1285,1384.586304,
1360 Pearl Gate Pl ,TRUE,79936,4,3,3365,520000,3000,4682.978516,
7029 Copper Canyon Dr ,TRUE,79934,3,2,1514,209500,1500,1921.661621,
10544 Breezeway Ave ,TRUE,79925,4,2,1626,263000,1590,2377.229736,
3710 Moonlight Ave ,TRUE,79904,3,4,1911,185000,1750,1747.982788,
8398 Beverly Pl ,TRUE,79907,5,4,1878,325000,1750,2911.861816,
6231 Taos Dr ,TRUE,79905,3,1,950,80000,1200,809.0736694,
3920 Hueco Valley Dr ,TRUE,79938,4,2.5,1642,239900,1800,2210.389648,
12405 Norte Chico ,TRUE,79934,4,3,1935,297950,1750,2686.983643,
14328 Desert Point Dr ,FALSE,79928,3,2,1302,210000,1450,1919.818359,
10100 Woodway Dr ,TRUE,79925,4,3,2495,575000,3500,5200.216797,
908 W Yandell Dr ,TRUE,79902,5,4,3827,599000,3300,5375.73877,
51061 Fox Ave ,TRUE,79934,4,2,1824,288950,1750,2612.162842,
2806 Polk Ave ,TRUE,79930,3,2,1568,214888,1800,2002.454346,
1271 Desert Sky Pl ,TRUE,79912,4,3,2586,520000,3200,4706.978516,
5237 LA Taste Ave ,TRUE,79924,3,2,1860,248000,1500,2241.728271,
328 Crestmont Dr ,TRUE,79912,3,3,1942,260000,1750,2371.489258,
6385 Calle Placido Dr ,TRUE,79912,5,6,3755,749000,3300,6622.751953,
1901 Octubre Dr ,TRUE,79935,3,2,2350,285000,2800,2705.324951,
9720 El Tepeyac Ave ,TRUE,79927,3,2,1652,178000,1730,1687.388916,
12126 Alex Guerrero Cir ,TRUE,79936,3,3,2232,303333,2500,2821.734863,
11677 Andrienne Dr ,TRUE,79936,3,3,2622,295000,2150,2710.458984,
7204 Raton Dr ,TRUE,79915,3,1.5,2078,125000,1695,1242.577637,
5109 Temple Ct ,TRUE,79924,4,2,2168,255000,2700,2443.922363,
14708 Cactus View Ct ,FALSE,79928,4,3,1502,229900,1600,2103.255371,
12364 Tierra Apache Rd ,TRUE,79938,3,2,1028,185000,1300,1693.982788,
6236 Franklin Hawk Ave ,TRUE,79912,4,3,3296,600000,3520,5410.452148,
11285 Cattle Ranch St ,TRUE,79934,4,3,1514,250000,1600,2270.355225,
1085 Paseo De Suerte Dr ,TRUE,79928,5,2.5,2584,335000,1630,2980.595947,
2508 Sea Palm Dr ,TRUE,79936,4,2,1767,249999,1695,2281.746826,
1420 Via Quijano Ln ,TRUE,79912,6,4.5,5117,2100000,3300,17854.18359,
3722 Frankfort Ave ,TRUE,79930,3,2,1554,215000,1800,2003.385498,
1980 Paseo Granada Ln ,TRUE,79936,4,3,3282,599000,3000,5339.73877,
8939A Comet St ,TRUE,79904,3,2,1162,114400,1350,1113.055298,
1207 Colina Blanca Pl ,FALSE,79928,4,2,1625,199950,1590,1853.068481,
1004 Los Jardines Cir ,TRUE,79912,3,3,2208,434000,2285,3882.224609,
6340 Franklin Red Dr ,TRUE,79912,4,4,3234,615000,3520,5535.153809,
5534 Oakbriar Cir ,TRUE,79932,4,3,2149,287500,1900,2618.108398,
11731 Socorro Rd ,TRUE,79927,4,2.5,4126,380000,2200,3423.099854,
7853 Enchanted Trail Dr ,TRUE,79911,3,2,1695,315000,2000,2858.727539,
370 Morning Star Dr ,TRUE,79912,5,5,5219,899999,3300,7878.070313,
3409 Hixson St ,TRUE,79902,4,2.5,1935,580000,1990,5060.583984,
624 Ramsgate Rd ,TRUE,79907,5,3,3692,375000,3520,3539.932861,
401 S Festival Dr ,TRUE,79912,3,3,2318,529000,2285,4671.999512,
937 Destello Rd ,TRUE,79907,2,1,960,140900,975,1288.360962,
1601 Sugar Goodman Ct ,TRUE,79911,4,3.5,2930,379900,3000,3518.268555,
3209 Mocha Freeze St ,TRUE,79938,4,2,1687,234999,1725,2160.645508,
4119 Broaddus Ave ,TRUE,79904,3,1,1124,130000,1350,1242.744629,
11833 E Vitex Cir ,TRUE,79936,3,2,1621,215000,1900,2015.385498,
1404 Ange St ,TRUE,79902,2,1,818,149900,800,1342.181763,
12780 Indian Canyon Dr ,TRUE,79928,3,3,2566,343635,2150,3114.782227,
708 Chatham Pl ,TRUE,79928,4,3,2061,399950,2600,3636.952637,
6233 Grace Madriles Pl ,TRUE,79932,5,2,1781,259900,2500,2460.657959,
2321 N Piedras St ,TRUE,79930,4,2,1668,103000,1590,1047.082275,
6207 Weems Ct ,TRUE,79905,3,2,1428,145000,1350,1367.446045,
533 Rosinante Rd ,TRUE,79922,4,3,3155,699000,1900,6039.081055,
740 Castile Ave ,TRUE,79912,4,3,2074,322580,3000,3041.743164,
6263 Viale Del Sol Ave ,TRUE,79932,3,2.5,2288,299950,2100,2745.610596,
633 Bir Cir ,TRUE,79932,4,5,3165,775425,3100,6818.434082,
6416 Pino Real Dr ,TRUE,79912,5,3,3572,325000,3520,3124.261719,
910 Mesita Dr ,TRUE,79902,3,2,1716,429500,1800,3786.614258,
371 Rocky Pointe Dr ,TRUE,79912,6,6,7147,2350000,3300,19932.53906,
9634 Blue Wing Dr ,TRUE,79924,4,2,1722,179950,1835,1716.200073,
51041 Fox Ave ,TRUE,79934,4,2.5,2142,309950,2095,2828.144775,
12237 Biddleston Dr ,TRUE,79928,4,3,2589,598950,2500,5279.323242,
7361 Cimarron Gap Dr ,TRUE,79911,4,3,2173,499000,2695,4471.796875,
6509 Harapon St ,TRUE,79932,4,2,1898,379600,2100,3407.774414,
716 Carabinas Way ,TRUE,79922,3,2,1426,210000,1795,1961.218384,
11512 Robert Lennox Dr ,TRUE,79934,4,2.5,2344,290000,1900,2638.89209,
10901 Dave Marr Ct ,TRUE,79935,4,4,4897,850000,3300,7462.407715,
700 Cervantes Ct ,TRUE,79922,4,4,3432,650000,3100,5775.723633,
1212 Cerrito Grande Ln ,TRUE,79912,6,4,3142,589000,1900,5124.60498,
7413 Le Conte Dr ,TRUE,79912,4,2,2271,294000,2135,2700.345703,
10986 Gary Player Dr ,TRUE,79935,4,4,4014,649950,3300,5799.307617,
9517 Robert Holt Dr ,TRUE,79924,3,2,1704,217450,1285,1961.953369,
533 Harvest Dr ,TRUE,79927,5,4,3147,375000,3100,3489.532715,
12489 Tierra Rey Ct ,TRUE,79938,4,2.5,2731,370000,2045,3321.365723,
212 Everest Dr ,TRUE,79912,5,5,7096,2900000,3300,24504.91992,
3740 Satiacum Ln ,TRUE,79938,5,1,2184,79950,2135,920.8579712,
11344 W Ranch Ct ,TRUE,79934,3,2.5,2046,250000,1795,2293.755127,
14374 Early Morn Ave ,TRUE,79938,4,2.5,2024,250000,1835,2298.555176,
3129 Hidden Creek Dr ,TRUE,79938,4,2.5,2241,287000,1985,2624.151611,
6313 Camino Nogal Dr ,TRUE,79932,5,5,3927,1350000,3300,11619.11816,
1048 Southwestern Dr ,TRUE,79912,4,2,1160,195000,1350,1783.117065,
4969 Marcella Santillana ,TRUE,79938,4,2,1342,205000,1450,1878.251221,
12297 Kingsgate Ct ,TRUE,79928,3,2.5,2241,309950,1995,2816.144775,
504 Hunter Dr ,TRUE,79915,4,3,2976,297000,1900,2697.085938,
4249 Osceola St ,TRUE,79938,5,4,3448,264950,3000,2562.640869,
9304 Wh Burges Dr ,TRUE,79925,6,4,2657,375000,2485,3415.732666,
3813 Loma Cortez Dr ,TRUE,79938,3,2,1413,230000,1395,2079.486816,
6200 Bluff View Pl ,TRUE,79912,4,4,2113,385000,3950,3674.666992,
2053 Thunder Ridge Dr ,TRUE,79938,4,2,1906,286000,1935,2609.838379,
14200 Marvin Ln ,TRUE,79938,4,3,2200,260000,1975,2398.489258,
19611 Gary Lee ,TRUE,79938,4,3.5,3700,295500,3000,2816.615723,
11460 Sundance Ave ,TRUE,79936,4,3,2331,380000,2600,3471.099854,
6420 LA Cadena Dr ,TRUE,79912,5,3,3028,490000,1900,4301.576172,
10132 Wolverine Dr ,TRUE,79924,3,1.5,1155,142000,1200,1324.505737,
7784 Enchanted Circle Dr ,TRUE,79911,4,3,2514,389000,2495,3533.320557,
7204 Gran Vida Dr ,TRUE,79912,3,2,1737,249000,2000,2310.041748,
3448 Jan De Roos Pl ,TRUE,79936,4,2.5,2162,298950,2100,2737.297119,
2903 Eads Pl ,TRUE,79935,3,2,1091,199000,1500,1834.370728,
4312 Loma Diamante Dr ,TRUE,79934,4,2,2139,327500,2095,2974.045166,
4228 Marcus Uribe Dr ,TRUE,79934,5,3,2494,329900,3200,3126.597412,
1865 Polly Harris Dr ,TRUE,79936,4,2,2120,299950,1875,2718.610596,
13804 Lago Vista Ave ,TRUE,79928,4,2.5,2079,264999,1950,2437.048096,
11113 Pink Coral Dr ,TRUE,79936,4,2,1487,197000,1600,1829.743896,
12068 Silver Crown Rd ,TRUE,79928,4,3.5,2512,340000,2590,3137.363037,
12632 Tierra Alzada Dr ,TRUE,79938,4,2.5,2567,419000,2045,3728.723145,
11021 Northview Dr ,TRUE,79934,4,2.5,2529,329999,1630,2939.020508,
966 Brudenal Pl ,TRUE,79928,4,3,2338,350000,2000,3149.697266,
7328 Black Sage Dr ,TRUE,79911,5,3.5,2677,425000,2100,3785.203857,
13724 Paseo Sereno Dr ,FALSE,79928,6,3,2801,320000,2595,2971.69458,
9824 Bomarc St ,TRUE,79924,3,2,1252,170000,1335,1573.481567,
2116 Tim Foster St ,TRUE,79938,3,3,1795,240000,1700,2199.220947,
6664 Tuscany Ridge Dr ,TRUE,79912,6,6.5,6624,1799000,3300,15351.84375,
8802 Magnetic St ,TRUE,79904,4,2,2218,309950,2135,2832.944824,
3224 Old Spanish Trl ,TRUE,79904,4,3,3277,328000,3520,3149.201904,
4756 Loma De Plata Dr ,TRUE,79934,3,2.5,1430,205900,1999,1951.613281,
6633 Mariposa Dr ,TRUE,79912,4,3,2331,395000,2750,3613.80127,
12551 Kari Anne Dr ,TRUE,79928,3,2,1214,214950,1445,1960.369751,
4614 N Stanton St Apt G50 ,TRUE,79902,1,1.5,1272,180000,1300,1652.415771,
7507 Acapulco Ave ,TRUE,79915,3,2,1200,180000,1600,1688.415771,
6420 Amber Nicole Ln ,TRUE,79932,3,3,1603,290000,1495,2590.291992,
1105 Feather Hawk Dr ,TRUE,79912,3,2.5,2319,280000,2000,2567.757813,
